abstract;author;categories;citable_docs._(3years);cites_/_doc._(2years);country;coverage;doi;eigenfactor_score;h_index;isbn;issn;issn1;issn2;issn3;jcr_value;keywords;publisher_x;publisher_y;ref._/_doc.;region;scimago_value;sjr_best_quartile;sourceid;title_csv;title_bib;total_cites;total_cites_(3years);total_docs._(2020);total_docs._(3years);total_refs.;type;type_publication;year
Compulsivity is recognized as a transdiagnostic phenotype, underlying a variety of addictive and obsessive–compulsive behaviors. However, current understanding of how it should be operationalized and the processes contributing to its development and maintenance is limited. The present study investigated if there was a relationship between the affective process Experiential Avoidance (EA), an unwillingness to tolerate negative internal experiences, and the frequency and severity of transdiagnostic compulsive behaviors. A large sample of adults (N = 469) completed online questionnaires measuring EA, psychological distress and the severity of seven obsessive–compulsive and addiction-related behaviors. Using structural equation modelling, results indicated a one-factor model of compulsivity was superior to the two-factor model (addictive- vs OCD-related behaviors). The effect of EA on compulsivity was fully mediated by psychological distress, which in turn had a strong direct effect on compulsivity. This suggests distress is a key mechanism in explaining why people with high EA are more prone to compulsive behaviors. The final model explained 41% of the variance in compulsivity, underscoring the importance of these constructs as likely risk and maintenance factors for compulsive behavior. Implications for designing effective psychological interventions for compulsivity are discussed.;Lauren {Den Ouden} and Jeggan Tiego and Rico S.C. Lee and Lucy Albertella and Lisa-Marie Greenwood and Leonardo Fontenelle and Murat Yücel and Rebecca Segrave;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Toxicology (Q1)";1148.0;356.0;United Kingdom;1975-2021;10.1016/j.addbeh.2020.106464;0.02223;127.0;;03064603;03064603;03064603;03064603;3.913;Addiction, Obsessive–compulsive disorder, Gambling, Compulsive buying, Binge-eating, Experiential Avoidance;Elsevier Ltd.;;4711.0;Western Europe;1520.0;Q1;24763.0;Addictive behaviors;The role of experiential avoidance in transdiagnostic compulsive behavior: a structural model analysis;17650.0;4787.0;345.0;1180.0;16254.0;journal;article;2020
One of the most relevant inputs for hydrological modeling is the soil map. The soil sources and scales for the soil properties are diverse, and the quality of soil mapping is increasing, but soil surveying is time-consuming and large area campaigns are expensive. The taxonomic unit approach for soil mapping is common and limited to one layer of data. This limitation causes errors in simulated water fluxes through the soil when taxonomic units approach is implemented during hydrological modeling analysis. Some strategies using geostatistics and machine learning algorithms such as Kriging and Self-Organizing maps (SOM) are improving the taxonomic units’ approach and could serve as an alternative for soil mapping for hydrological purposes. The aim of this work is to study the influence of different soil maps and resolutions on the main hydrological components of a sub-arid watershed in central Spain. For this, the Soil Water and Assessment Tool (SWAT) was parameterized with three different soil maps. A first one was based on Harmonized World Soil database from FAO, at scale 1:1,000,000 (HWSD). The other two were based on a Kriging interpolation at 100 × 100 m from soil samples. To obtain soil properties map from it, two strategies were applied: one was to average the soil properties following the official taxonomic soil units at 1:400,000 scale (Agricultural Technological Institute of Castilla and Leon - ITACyL) and the other was to applied Self-organizing map (SOM) to create the soil units (SOMM). The results suggest that scale and soil properties mapping influence HRU definition, which in turn affects water flow through the soils. Statistical metrics of model performance were improved from R2 =0.62 and NSE=0.46 with HWSD soil map to R2 =0.86 and NSE=0.84 with SOM and similar values were achieved during validation. Thus, the SOM is presented as an innovative algorithm applied for hydrological modeling with SWAT, significantly increasing the level of model accuracy to stream flow in sub-arid watersheds.;David Rivas-Tabares and Ángel {de Miguel} and Bárbara Willaarts and Ana M. Tarquis;"Applied Mathematics (Q1); Modeling and Simulation (Q1)";1602.0;540.0;United States;1976-2021;10.1016/j.apm.2020.06.044;0.02616;112.0;;0307904X;0307904X;0307904X;0307904X;5.129;Soil properties, Self-organizing Maps, Hydrological modeling, SWAT, Soils spatial patterns, SOM;Elsevier Inc.;;4323.0;Northern America;1011.0;Q1;28065.0;Applied mathematical modelling;Self-organizing map of soil properties in the context of hydrological modeling;24972.0;7948.0;578.0;1606.0;24985.0;journal;article;2020
Saturation pressure is a vital parameter of oil reservoir which can reflect the oilfield characteristics and determine the oilfield development process, and it is determined by experiments in the laboratory in general. However, there was only one well with saturation pressure test in this target reservoir, and it is necessary to determine whether this parameter is right or not. In this work, we present a new method for quickly determining saturation pressure using machine learning algorithms, including random forest regressor (RF), support vector machine (SVM), decision trees (DT), and artificial neural network (ANN or NN). Using these approaches, saturation pressure was obtained by using the initial solution gas-oil ratio (GOR), temperature, API gravity and other reservoir-fluid data available in the oilfields. Compared with the empirical formula for saturation pressure calculation, the calculated result shows that the accuracy given from machine learning is higher than that from other formulas at home and abroad, and has a good match with the lab test. On the basis of the calculated saturation pressure, it can determine whether the reservoir enters into the stage of dissolved gas drive or not, which also provides the basis for maintaining the reservoir pressure by water injection in advance, rational development decision-making and work over measures. This approach above can provide technical guidance for predicting the saturation pressure in the development of different kinds of reservoirs, including the sandstone reservoirs and carbonate reservoirs.;Guoyi Yu and Feng Xu and Yingzhi Cui and Xiangling Li and Chujuan Kang and Cheng Lu and Siyu Li and Lin Bai and Shuheng Du;"Condensed Matter Physics (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)";8065.0;575.0;United Kingdom;1976-2020;10.1016/j.ijhydene.2020.08.042;0.08541;215.0;;03603199;03603199;03603199;03603199;5.816;Oil reservoir, Saturation pressure, Random forest, Decision tree, ANN, Empirical formula;Elsevier Ltd.;;5409.0;Western Europe;1212.0;Q1;26991.0;International journal of hydrogen energy;A new method of predicting the saturation pressure of oil reservoir and its application;120051.0;45807.0;3124.0;8134.0;168963.0;journal;article;2020
Biological entities are involved in intricate and complex interactions, in which uncovering the biological information from the network concepts are of great significance. Benefiting from the advances of network science and high-throughput biomedical technologies, studying the biological systems from network biology has attracted much attention in recent years, and networks have long been central to our understanding of biological systems, in the form of linkage maps among genotypes, phenotypes, and the corresponding environmental factors. In this review, we summarize the recent developments of computational network biology, first introducing various types of biological networks and network structural properties. We then review the network-based approaches, ranging from some network metrics to the complicated machine-learning methods, and emphasize how to use these algorithms to gain new biological insights. Furthermore, we highlight the application in neuroscience, human disease, and drug developments from the perspectives of network science, and we discuss some major challenges and future directions. We hope that this review will draw increasing interdisciplinary attention from physicists, computer scientists, and biologists.;Chuang Liu and Yifang Ma and Jing Zhao and Ruth Nussinov and Yi-Cheng Zhang and Feixiong Cheng and Zi-Ke Zhang;Physics and Astronomy (miscellaneous) (Q1);147.0;3602.0;Netherlands;1971-2020;10.1016/j.physrep.2019.12.004;;297.0;;03701573;03701573;03701573;03701573;;Complex networks, Network biology, Disease module, Machine learning;Elsevier;;40140.0;Western Europe;6914.0;Q1;29229.0;Physics reports;Computational network biology: data, models, and applications;;5960.0;53.0;147.0;21274.0;journal;article;2020
This study reviews soil water balance (SWB) model approaches to determine crop irrigation requirements and scheduling irrigation adopting the FAO56 method. The Kc-ETo approach is discussed with consideration of baseline concepts namely standard vs. actual Kc concepts, as well as single and dual Kc approaches. Requirements for accurate SWB and appropriate parameterization and calibration are introduced. The one-step vs. the two-step computational approaches is discussed before the review of the FAO56 method to compute and partition crop evapotranspiration and related soil water balance. A brief review on transient state models is also included. Baseline information is concluded with a discussion on yields prediction and performance indicators related to water productivity. The study is continued with an overview on models development and use after publication of FAO24, essentially single Kc models, followed by a review on models following FAO56, particularly adopting the dual Kc approach. Features of dual Kc modeling approaches are analyzed through a few applications of the SWB model SIMDualKc, mainly for derivation of basal and single Kc, extending the basal Kc approach to relay intercrop cultivation, assessing alternative planting dates, determining beneficial and non-beneficial uses of water by an irrigated crop, and assessing the groundwater contribution to crop ET in the presence of a shallow water table. The review finally discusses the challenges placed to SWB modeling for real time irrigation scheduling, particularly the new modeling approaches for large scale multi-users application, use of cloud computing and adopting the internet of things (IoT), as well as an improved wireless association of modeling with soil and plant sensors. Further challenges refer to the use of remote sensing energy balance and vegetation indices to map Kc, ET and crop water and irrigation requirements. Trends are expected to change research issues relative to SWB modeling, with traditional models mainly used for research while new, fast-responding and multi-users models based on cloud and IoT technologies will develop into applications to the farm practice. Likely, the Kc-ETo will continue to be used, with ETo from gridded networks, re-analysis and other sources, and Kc data available in real time from large databases and remote sensing.;L.S. Pereira and P. Paredes and N. Jovanovic;"Agronomy and Crop Science (Q1); Earth-Surface Processes (Q1); Soil Science (Q1); Water Science and Technology (Q1)";1201.0;472.0;Netherlands;1976-1977, 1979-2021;10.1016/j.agwat.2020.106357;0.01577;128.0;;03783774;03783774;03783774;03783774;4.516;Crop coefficients, Crop evapotranspiration, Dual K approach, Real time irrigation management, Water use assessment, SIMDualKc model;Elsevier;;5822.0;Western Europe;1493.0;Q1;35824.0;Agricultural water management;Soil water balance models for determining crop water and irrigation requirements and irrigation scheduling focusing on the fao56 method and the dual kc approach;22091.0;6257.0;429.0;1207.0;24976.0;journal;article;2020
Yield gaps and water productivity are key indicators to monitor the progress towards more sustainable and productive cropping systems. Individual farmers are collecting increasing amounts of data (‘big data’), which can help monitor the process of sustainable intensification at local level. In this study, we build upon such data to quantify the magnitude and identify the biophysical and management determinants of on-farm yield gaps and water productivity for the main arable crops cultivated in the Netherlands. The analysis focused on ware, seed and starch potatoes, sugar beet, spring onion, winter wheat and spring barley and covered the period 2015–2017. A crop modelling approach based on crop coefficients (kc) and daily weather data was used to estimate the potential yield (Yp), radiation intercepted and potential evapotranspiration (ETP) for each crop. Yield gaps were estimated to be ca. 10% of Yp for sugar beet, 25–30% of Yp for ware, seed and starch potato and spring barley, and 35–40% of Yp for spring onion and winter wheat. Variation in actual yields was associated with water availability in key periods of the growing season as well as with sowing and harvest dates. However, the R2 of the fitted regressions was rather low (20–49%). Current levels of crop water productivity ranged between 13 kg DM ha−1 mm−1 for spring barley, ca. 15 kg DM ha−1 mm−1 for seed potato, spring onion and winter wheat, 23 kg DM ha−1 mm−1 for ware potato and ca. 25 kg DM ha−1 mm−1 for starch potato and sugar beet. These values are about half of their potential, but increasing actual water productivity further is restricted by rainfall amount and distribution. However, doing so should not be prioritized over reducing environmental impacts of these intensive cropping systems in the short-term and may require large investments from farm to regional levels in the long-term. Although these findings are most relevant to similar cropping systems in NW Europe, the underlying methods are generic and can be used to benchmark crop performance in other cropping systems. Based on this work, we argue that ‘big data’ are currently most useful to describe cropping systems at regional scale and derive benchmarks of farm performance but not as much to predict and explain crop yield variability in time and space.;João Vasco Silva and Tomás R. Tenreiro and Léon Spätjens and Niels P.R. Anten and Martin K. {van Ittersum} and Pytrik Reidsma;"Agronomy and Crop Science (Q1); Soil Science (Q1)";795.0;539.0;Netherlands;1978-2020;10.1016/j.fcr.2020.107828;0.01607;150.0;;03784290;18726852;03784290;18726852;5.224;Arable crops, Yield gaps, Crop ecology, Crop coefficients (kc), The Netherlands;Elsevier;;5586.0;Western Europe;1951.0;Q1;78796.0;Field crops research;Can big data explain yield variability and water productivity in intensive cropping systems?;24118.0;4752.0;191.0;798.0;10669.0;journal;article;2020
The age of big data analytics is now here, with companies increasingly investing in big data initiatives to foster innovation and outperform competition. Nevertheless, while researchers and practitioners started to examine the shifts that these technologies entail and their overall business value, it is still unclear whether and under what conditions they drive innovation. To address this gap, this study draws on the resource-based view (RBV) of the firm and information governance theory to explore the interplay between a firm’s big data analytics capabilities (BDACs) and their information governance practices in shaping innovation capabilities. We argue that a firm’s BDAC helps enhance two distinct types of innovative capabilities, incremental and radical capabilities, and that information governance positively moderates this relationship. To examine our research model, we analyzed survey data collected from 175 IT and business managers. Results from partial least squares structural equation modelling analysis reveal that BDACs have a positive and significant effect on both incremental and radical innovative capabilities. Our analysis also highlights the important role of information governance, as it positively moderates the relationship between BDAC’s and a firm’s radical innovative capability, while there is a nonsignificant moderating effect for incremental innovation capabilities. Finally, we examine the effect of environmental uncertainty conditions in our model and find that information governance and BDACs have amplified effects under conditions of high environmental dynamism.;Patrick Mikalef and Maria Boura and George Lekakos and John Krogstie;"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";246.0;894.0;Netherlands;1977-2020;10.1016/j.im.2020.103361;;162.0;;03787206;03787206;03787206;03787206;;Big data analytics capabilities, Information governance, Incremental innovation, Radical innovation, Environmental uncertainty, FIMIX-PLS;Elsevier;;8758.0;Western Europe;2147.0;Q1;12303.0;Information and management;The role of information governance in big data analytics driven innovation;;2482.0;130.0;248.0;11385.0;journal;article;2020
This paper provides a survey of big data analytics applications and associated implementation issues. The emphasis is placed on applications that are novel and have demonstrated value to the industry, as illustrated using field data and practical applications. The paper reflects on the lessons learned from initial implementations, as well as ideas that are yet to be explored. The various data science trends treated in the literature are outlined, while experiences from applying them in the electricity grid setting are emphasized to pave the way for future applications. The paper ends with opportunities and challenges, as well as implementation goals and strategies for achieving impactful outcomes.;Mladen Kezunovic and Pierre Pinson and Zoran Obradovic and Santiago Grijalva and Tao Hong and Ricardo Bessa;"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)";1158.0;425.0;Netherlands;1977-2021;10.1016/j.epsr.2020.106788;0.01287;122.0;;03787796;03787796;03787796;03787796;3.414;Electricity grids, Analytics, Big data, Decision-making;Elsevier BV;;3258.0;Western Europe;845.0;Q1;16044.0;Electric power systems research;Big data analytics for future electricity grids;13115.0;5369.0;643.0;1165.0;20949.0;journal;article;2020
Artificial intelligence (AI) will continue to cause substantial changes within the field of radiology, and it will become increasingly important for clinicians to be familiar with several concepts behind AI algorithms in order to effectively guide their clinical implementation. This review aims to give medical professionals the basic information needed to understand AI development and research. The general concepts behind several AI algorithms, including their data requirements, training, and evaluation methods are explained. The potential legal implications of using AI algorithms in clinical practice are also discussed.;Marly {van Assen} and Scott J. Lee and Carlo N. {De Cecco};"Medicine (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";1082.0;325.0;Ireland;1981-2020;10.1016/j.ejrad.2020.109083;0.01605;115.0;;0720048X;18727727;0720048X;18727727;3.528;Artificial intelligence, Cardiac, Chest;Elsevier Ireland Ltd;;3029.0;Western Europe;1025.0;Q1;16677.0;European journal of radiology;Artificial intelligence from a to z: from neural network to legal framework;16452.0;3680.0;518.0;1115.0;15691.0;journal;article;2020
Advanced manufacturing and 3D printing are transformative technologies currently undergoing rapid adoption in healthcare, a traditionally non-manufacturing sector. Recent development in this field, largely enabled by merging different disciplines, has led to important clinical applications from anatomical models to regenerative bioscaffolding and devices. Although much research to-date has focussed on materials, designs, processes, and products, little attention has been given to the design and requirements of facilities for enabling clinically relevant biofabrication solutions. These facilities are critical to overcoming the major hurdles to clinical translation, including solving important issues such as reproducibility, quality control, regulations, and commercialization. To improve process uniformity and ensure consistent development and production, large-scale manufacturing of engineered tissues and organs will require standardized facilities, equipment, qualification processes, automation, and information systems. This review presents current and forward-thinking guidelines to help design biofabrication laboratories engaged in engineering model and tissue constructs for therapeutic and non-therapeutic applications.;Henry W. Sanicola and Caleb E. Stewart and Michael Mueller and Farzad Ahmadi and Dadong Wang and Sean K. Powell and Korak Sarkar and Kenneth Cutbush and Maria A. Woodruff and David A. Brafman;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biotechnology (Q1)";321.0;1368.0;United States;1983-2020;10.1016/j.biotechadv.2020.107652;0.017;191.0;;07349750;18731899;07349750;18731899;14.227;Bioprinting, Biofabrication, Tissue engineering, Cloud manufacturing, Deep learning;Elsevier Inc.;;19805.0;Northern America;2772.0;Q1;15461.0;Biotechnology advances;Guidelines for establishing a 3-d printing biofabrication laboratory;23792.0;4598.0;130.0;326.0;25746.0;journal;article;2020
;Jessica Spence and C. David Mazer;Anesthesiology and Pain Medicine (Q3);34.0;116.0;United States;2003-2020;10.1016/j.aan.2020.09.003;;7.0;;07376146;07376146;07376146;07376146;;Cardiothoracic anesthesia, Research, Trial design, Future;Academic Press Inc.;;6433.0;Northern America;371.0;Q3;21401.0;Advances in anesthesia;The future directions of research in cardiac anesthesiology;;49.0;15.0;37.0;965.0;book series;article;2020
;Lee Squitieri and Kevin C. Chung;"Orthopedics and Sports Medicine (Q2); Surgery (Q2)";181.0;152.0;United Kingdom;1985-2020;10.1016/j.hcl.2020.01.011;0.00176;55.0;;07490712;15581969;07490712;15581969;1.907;Registry, Hand surgery, Administrative, Claims, Electronic health records, Big data, Secondary data analysis;W.B. Saunders Ltd;;3727.0;Western Europe;742.0;Q2;29770.0;Hand clinics;Deriving evidence from secondary data in hand surgery: strengths, limitations, and future directions;2329.0;332.0;67.0;207.0;2497.0;journal;article;2020
"ABSTRACT
Objectives
Predictive risk models are advocated in psychosocial oncology practice to provide timely and appropriate support to those likely to experience the emotional and psychological consequences of cancer and its treatments. New digital technologies mean that large scale and routine data collection are becoming part of everyday clinical practice. Using these data to try to identify those at greatest risk for late psychosocial effects of cancer is an attractive proposition in a climate of unmet need and limited resource. In this paper, we present a framework to support the development of high-quality predictive risk models in psychosocial and supportive oncology. The aim is to provide awareness and increase accessibility of best practice literature to support researchers in psychosocial and supportive care to undertake a structured evidence-based approach.
Data Sources
Statistical prediction risk model publications.
Conclusion
In statistical modeling and data science different approaches are needed if the goal is to predict rather than explain. The deployment of a poorly developed and tested predictive risk model has the potential to do great harm. Recommendations for best practice to develop predictive risk models have been developed but there appears to be little application within psychosocial and supportive oncology care.
Implications for Nursing Practice
Use of best practice evidence will ensure the development and validation of predictive models that are robust as these are currently lacking. These models have the potential to enhance supportive oncology care through harnessing routine digital collection of patient-reported outcomes and the targeting of interventions according to risk characteristics.";Jenny Harris and Edward Purssell and Emma Ream and Anne Jones and Jo Armes and Victoria Cornelius;Oncology (nursing) (Q2);178.0;186.0;United Kingdom;1985-2020;10.1016/j.soncn.2020.151089;0.00169;45.0;;07492081;18783449;07492081;18783449;2.315;Predictive risk models, Regression models, Cancer, Psychosocial, Supportive care, Psychological, Distress;W.B. Saunders Ltd;;4950.0;Western Europe;596.0;Q2;29925.0;Seminars in oncology nursing;How to develop statistical predictive risk models in oncology nursing to enhance psychosocial and supportive care;1412.0;396.0;66.0;195.0;3267.0;journal;article;2020
"Background
The volume of unicompartmental knee arthroplasty (UKA) has increased dramatically in recent years with good reported long-term outcomes. UKA can be performed under general or neuraxial (ie, spinal) anesthesia; however, little is known as to whether there is a difference in outcomes based on anesthesia type. The purpose of the present study is to compare perioperative outcomes between anesthesia types for patients undergoing primary elective UKA.
Methods
Patients who underwent primary elective UKA from 2007 to 2017 were identified from the American College of Surgeons-National Surgical Quality Improvement Program Database. Operating room times, length of stay (LOS), 30-day adverse events, and readmission rates were compared between patients who received general anesthesia and those who received spinal anesthesia. Propensity-adjusted multivariate analysis was used to control for selection bias and baseline patient characteristics.
Results
A total of 8639 patients underwent UKA and met the inclusion criteria for this study. Of these, 4728 patients (54.7%) received general anesthesia and 3911 patients (45.3%) received spinal anesthesia. On propensity-adjusted multivariate analyses, general anesthesia was associated with increased operative time (P < .001) and the occurrence of any severe adverse event (odds ratio [OR], 1.39; 95% confidence interval [95% CI], 1.04-1.84; P = .024). In addition, general anesthesia was associated with higher rates of deep venous thrombosis (OR, 2.26; 95% CI, 1.11-4.6; P = .024) and superficial surgical site infection (OR, 1.04; 95% CI, 0.6-1.81; P < .001). Finally, general anesthesia was also associated with a reduced likelihood of discharge to home (OR, 0.72; 95% CI, 0.59-0.88; P < .001). No difference existed in postoperative hospital LOS or readmission rates among cohorts.
Conclusion
General anesthesia was associated with an increased rate of adverse events and increased operating room times as well as a reduced likelihood of discharge to home. There was no difference in hospital LOS or postoperative readmission rates between anesthesia types.";Yining Lu and William M. Cregar and J. Brett Goodloe and Zain Khazi and Brian Forsythe and Tad L. Gerlinger;Orthopedics and Sports Medicine (Q1);1949.0;410.0;United States;1986-2020;10.1016/j.arth.2020.03.012;0.03779;135.0;;08835403;08835403;15328406;08835403;4.757;unicompartmental arthroplasty, general anesthesia, spinal anesthesia, complications, National Surgical Quality Improvement Project, NSQIP;Churchill Livingstone;;2954.0;Northern America;2766.0;Q1;12191.0;Journal of arthroplasty;General anesthesia leads to increased adverse events compared with spinal anesthesia in patients undergoing unicompartmental knee arthroplasty;27716.0;9335.0;810.0;2159.0;23925.0;journal;article;2020
Benchmarking is a common and effective method for measuring and analyzing ICU performance. With the existence of national registries, objective information can now be obtained to allow benchmarking of ICU care within and between countries. The present manuscript briefly describes the current status of benchmarking in healthcare and critical care and presents the LOGIC project, an initiative to promote international benchmarking for intensive care units. Currently 13 registries have joined LOGIC. We showed large differences in the utilization of ICU as well as resources and in outcomes. Despite the need for careful interpretation of differences due to variation in definitions and limited risk adjustment, LOGIC is a growing worldwide initiative that allows access to insightful epidemiologic data from ICUs in multiple databases and registries.;D.A. Dongelmans and David Pilcher and Abigail Beane and Marcio Soares and Maria {del Pilar Arias Lopez} and Ariel Fernandez and Bertrand Guidet and Rashan Haniffa and Jorge I.F. Salluh;Critical Care and Intensive Care Medicine (Q1);847.0;253.0;Netherlands;1986-2020;10.1016/j.jcrc.2020.08.031;0.01662;83.0;;08839441;15578615;08839441;15578615;3.425;Critical care, Improvement science, Benchmarking, Global, Quality, Quality registry;Elsevier BV;;3014.0;Western Europe;1149.0;Q1;12212.0;Journal of critical care;Linking of global intensive care (logic): an international benchmarking in critical care initiative;9746.0;2889.0;300.0;1095.0;9042.0;journal;article;2020
To comprehensively understand the decision information system for the information processing of the intelligent manufacturing under Internet of Things, an intelligent decision support system (DSS) based on data mining technology is applied to enterprises to establish an Internet of Things-based intelligent DSS for manufacturing industry, thereby supporting the decision-makers in making intelligent decisions through the intelligent DSS. The research results show that data mining technology can analyze the statistical data from multiple angles and perspectives by modeling, classifying, and clustering a large amount of data, as well as discovering the correlations between the data. Also, in statistical work, the data are counted, and their correlations are utilized to support the decision analysis. Therefore, it can be concluded that the establishment of intelligent DSS for enterprises in manufacturing industry and the utilization of data mining technology as the key technology to achieve the system can make the decision-making of the manufacturing enterprises more effective and scientific. Eventually, the satisfactory decision-making results can be obtained.;Yuan Guo and Nan Wang and Ze-Yin Xu and Kai Wu;"Aerospace Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Mechanical Engineering (Q1); Signal Processing (Q1)";2017.0;795.0;United States;1987-2021;10.1016/j.ymssp.2020.106630;0.03775;167.0;;08883270;08883270;10961216;08883270;6.823;Intelligent decision support system, Data mining, Decision tree;Elsevier;;4336.0;Northern America;2275.0;Q1;21080.0;Mechanical systems and signal processing;The internet of things-based decision support system for information processing in intelligent manufacturing using data mining technology;30686.0;16068.0;538.0;2031.0;23327.0;journal;article;2020
;Fabien Lareyre and Cédric Adam and Marion Carrier and Juliette Raffort;"Cardiology and Cardiovascular Medicine (Q2); Medicine (miscellaneous) (Q2); Surgery (Q2)";1527.0;137.0;United States;1986-2020;10.1016/j.avsg.2020.04.022;0.00916;74.0;;08905096;16155947;08905096;16155947;1.466;;Elsevier Inc.;;2003.0;Northern America;635.0;Q2;20492.0;Annals of vascular surgery;Artificial intelligence in vascular surgery: moving from big data to smart data;7121.0;2242.0;844.0;1561.0;16904.0;journal;article;2020
Advancements in modern mineral processing has been driven by technology and fuelled by market economics of supply and demand. Over the last three decades, the demand for various minerals has steadily increased, while the mineral processing industry has seen an unavoidable increase in the treatment of complex ores, continuous decline in plant feed grade and poor plant performance partly due to blending of ores with dissimilar properties. Despite these challenges, production plant data that are routinely generated are usually underutilised. In this contribution and aligned with the direction of the 4th industrial revolution, we highlight the value of legacy metallurgical plant data and the concept of a dry laboratory approach. This study is presented in two parts. In the current paper (Part I), a comprehensive review of the potential for the combination of modern analytical technology with data analytics to generate a new competence for process optimisation are provided. To demonstrate the value of data within the extractive metallurgy discipline, we employ data analytics and simulation to examine gold plant performance and the flotation process in two separate case studies in the second paper (Part II). This was done with the aim of showcasing relevant plant data insights, and extract parameters that should be targeted for plant design and performance optimisation. We identify several promising technologies that integrate well with existing mineral processing plants and testing laboratories to exploit the concept of a dry laboratory, in order to enhance pre-existing mineral processing chains. It also sets the passage in terms of the value of innovative analysis of existing and simulation data as part of the new world of data analytics. Using data- and technology-driven initiatives, we propose the establishment of dry laboratories and data banks to ultimately leverage integrated data, analytics and process simulation for effective plant design and improved performance.;Yousef Ghorbani and Glen T. Nwaila and Steven E. Zhang and Martyn P. Hay and Lunga C. Bam and Pratama Istiadi Guntoro;"Chemistry (miscellaneous) (Q1); Control and Systems Engineering (Q1); Geotechnical Engineering and Engineering Geology (Q1); Mechanical Engineering (Q1)";954.0;481.0;United Kingdom;1988-2020;10.1016/j.mineng.2020.106646;0.01028;108.0;;08926875;08926875;08926875;08926875;4.765;Data analytics, Dry laboratories, Data bank, Legacy metallurgical data;Elsevier Ltd.;;4011.0;Western Europe;1092.0;Q1;16936.0;Minerals engineering;Repurposing legacy metallurgical data part i: a move toward dry laboratories and data bank;18516.0;4768.0;409.0;962.0;16406.0;journal;article;2020
Global warming may increase the frequency of climate extremes, but systematic examinations at different temperature thresholds are unknown over the Tibetan Plateau (TP). Changes in surface temperature and precipitation extreme indices derived from a multi-model ensemble mean (MMEM) of the Coupled Model Inter-comparison Project Phase 5 (CMIP5) models are examined under global warming of 1.5 °C (RCP2.6), 2 °C (RCP4.5) and 3 °C (RCP8.5) above pre-industrial levels. The TP amplification of future temperature and precipitation changes is evident for all three scenarios, with greater trend magnitudes in extreme indices than those for the whole China, regions between 25°N and 40°N, Northern Hemisphere (land only), Northern Hemisphere and the global mean. The TP amplification is also projected to intensify in each scenario, resulting in faster changes in intensity, duration and frequency of climate extremes. There appears to be greater difference for precipitation-based indices between 2 °C and 3 °C than for temperature, and the differences between 1.5 °C and 2 °C are less dramatic. Overall changes in climate extremes at 2 °C are greater than at 1.5 °C, but differences are less discernible between 3 °C and 2 °C. The Kolmogorov-Smirnov test between simulated and scaled temperature distributions shows that accelerated warming over the TP from 1.5 °C to 2 °C follows a broadly linear response, but the nonlinearity occurs between 2 °C and 3 °C. This suggests that the rate of warming might make a large difference to the future TP amplification at different thresholds.;Qinglong You and Fangying Wu and Liucheng Shen and Nick Pepin and Zhihong Jiang and Shichang Kang;"Global and Planetary Change (Q1); Oceanography (Q1)";506.0;490.0;Netherlands;1989-2020;10.1016/j.gloplacha.2020.103261;0.01393;133.0;;09218181;09218181;09218181;09218181;5.114;Tibetan Plateau, CMIP5, 1.5 °C, 2 °C and 3 °C, Linearity analysis;Elsevier;;9203.0;Western Europe;1706.0;Q1;27049.0;Global and planetary change;Tibetan plateau amplification of climate extremes under global warming of 1.5 °c, 2 °c and 3 °c;13351.0;2726.0;204.0;518.0;18775.0;journal;article;2020
