search_id;title;abstract;publication_year;authors;doi;content_type;issn;isbn
ieee_20221205_08_11_42;Big Data Challenges: A Program Optimization Perspective;Big Data is characterized by the increasing volume (of the order of zeta bytes) and velocity of data generation. It is projected that the market size of Big Data shall climb up to $53.7 billion by 2017 from the current market size of $5.1 billion. Big Data in conjunction with emerging applications such as RMS applications and others has sown the seeds of exascale computing. In a similar vein, In [12], Sexton argued that applications from domains such as materials science, energy, environment and life sciences will require exascale computing. Recent studies directed towards challenges in building exascale systems and charting the roadmap of exascale computing conjecture that exascale systems would support 10-to 100-way concurrency per core and hundreds of cores per die. In [15], HPC Advisory Council predicts that the first exaflop system will be built between 2018 -- 2020. In this paper present a program optimization perspective to the challenges posed by Big Data.;2012;Arun Kejariwal;10.1109/CGC.2012.17;Conferences;;978-0-7695-4864-7
ieee_20221205_08_11_42;Ontology-Based Temporal Relation Modeling with MapReduce Latent Dirichlet Allocations for Big EHR Data;In this paper, we propose a model called Temporal & Co reference Topic Modeling (TCTM) to do automatic annotation with respect to the Time Event Ontology (TEO) for the big-size Electronic Health Record (EHR). TCTM, based on Latent Dirichlet Allocations (LDA) and integrated into MapReduce framework, inherently addresses the twin problem of data sparseness and high dimensionality. As a non-parametric Bayesian model, it can flexibly add new attributes or features. Side information associated with corpora, such as section header, timestamp, sentence distance, event distance or disease category in clinical notes makes latent topics more interpretable and more biased toward co referring events. Furthermore, TCTM integrates Hidden Markov Model LDA (HMM-LDA) to obtain the power of both sequential modeling and exchangeability. A MapReduce based variational method is employed to do parameter estimation and inferences, thus enabling TCTM to overcome the bottleneck brought by big data.;2012;Dingcheng Li;10.1109/CGC.2012.112;Conferences;;978-0-7695-4864-7
ieee_20221205_08_11_42;Beyond Simple Integration of RDBMS and MapReduce -- Paving the Way toward a Unified System for Big Data Analytics: Vision and Progress;MapReduce has shown vigorous vitality and penetrated both academia and industry in recent years. MapReduce not only can be used as an ETL tool, it can do even much more. The technique has been applied to SQL summation, OLAP, data mining, machine learning, information retrieval, multimedia data processing, science data processing etc. Basically MapReduce is a general purpose parallel computing framework for large dataset processing. A big data analytics ecosystem built around MapReduce is emerging alongside the traditional one built around RDBMS. The objectives of RDBMS and MapReduce, as well as the ecosystems built around them, overlap much really, in some sense they do the same thing and MapReduce can accomplish more works, such as graph processing, which RDBMS can not handle well. RBDMS enjoys high performance of relational data processing, which MapReduce needs to catch up. The authors envision that the two techniques are fusing into a unified system for big data analytics. With the ongoing endeavor to build up the system, much of the groundwork has been laid while some critical issues are still unresolved, we try to identify some of them. Two of our works as well as experiment results are presented, one is applying a hierarchical encoding to star schema data in Hadoop for high performance of OLAP processing, another is leveraging the natural three copies of HDFS blocks to exploit different data layouts to speed up queries in a OLAP workload, a cost model is used to route user queries to different data layouts.;2012;Xiongpai Qin;10.1109/CGC.2012.39;Conferences;;978-0-7695-4864-7
ieee_20221205_08_11_42;A Big Data Model Supporting Information Recommendation in Social Networks;As information systems are becoming sophisticated and mobile, cloud computing, social networking services are now very popular to people, the amount of data is rapidly increasing every year. Big data is data which should be analyzed by a company or an organization, but has not been tried to be analyzed or could not have been processed by current technology. In this paper, we introduce a big data model for recommender systems using social network data. The model incorporates factors related to social networks and can be applied to information recommendation with respect to various social behaviors that can increase the reliability of the recommended information. The big data model has the flexibility to be expanded to incorporate more sophisticated additional factors if needed. The experimental results using it in information recommendation and using map-reduce to process it show that it is a feasible model to be used for information recommendation.;2012;Xiaoyue Han;10.1109/CGC.2012.125;Conferences;;978-0-7695-4864-7
ieee_20221205_08_11_42;Big Data analytics;In this paper, we explain the concept, characteristics & need of Big Data & different offerings available in the market to explore unstructured large data. This paper covers Big Data adoption trends, entry & exit criteria for the vendor and product selection, best practices, customer success story, benefits of Big Data analytics, summary and conclusion. Our analysis illustrates that the Big Data analytics is a fast-growing, influential practice and a key enabler for the social business. The insights gained from the user generated online contents and collaboration with customers is critical for success in the age of social media.;2012;Sachchidanand Singh;10.1109/ICCICT.2012.6398180;Conferences;;978-1-4577-2076-5
ieee_20221205_08_11_42;Agile visual analytics for banking cyber “big data”;This paper describes the rapid development of a tailored cyber situational awareness and analysis application for the 2012 IEEE VAST Mini-Challenge 1 (MC1) — Cyber Situation Awareness. The novel aspect of this project was in the process of developing the tailored solution for a “big data” application. Aperture is an open, adaptable, and extensible Web 2.0 visualization framework, designed to produce visualizations for analysts and decision makers in any common web browser. Aperture utilizes a novel layer-based approach to visualization assembly, and a data mapping API that simplifies the process of transformation of data or analytic results into visual forms and properties.;2012;David Jonker;10.1109/VAST.2012.6400507;Conferences;;978-1-4673-4752-5
ieee_20221205_08_11_42;Big data exploration through visual analytics;SAS® Visual Analytics Explorer is an advanced data visualization and exploratory data analysis application that is a component of the SAS Visual Analytics solution. It excels at handling big data problems like the VAST challenge. With a wide range of visual analytics features and the ability to scale to massive datasets, SAS Visual Analytics Explorer enables analysts to find patt er n s and relationships quickly and easily, no matter the size of their data. In this summary paper, we explain how we used SAS Visual Analytics Explorer to solve the VAST Challenge 2012 minichallenge 1.;2012;Nascif A. Abousalh-Neto;10.1109/VAST.2012.6400514;Conferences;;978-1-4673-4752-5
ieee_20221205_08_11_42;Towards HPC for the digital Humanities, Arts, and Social Sciences: Needs and challenges of adapting academic HPC for big data;This paper examines the needs of emerging applications of High Performance Computing by the Humanities, Arts, and Social Sciences (HASS) disciplines and presents a vision for how the current academic HPC environment could be adapted to better serve this new class of “big data” research.;2012;Kalev H. Leetaru;10.1109/eScience.2012.6404439;Conferences;;978-1-4673-4465-4
ieee_20221205_08_11_42;Distributed Big Advertiser Data Mining;"Advertisers and big data mining experts alike are today are dealing with complex datasets of increasing variety (first and third party data), volume (events, impressions, clicks), and velocity (real time bidding). Creating predictive models to customize advertiser requirements and campaign analytics to show targeted ads to users who are most likely to convert has become increasingly challenging. Advertisers often group customers into a segment defined by a given set of demographic or behavioral attributes. Such segments are often very sparse. ""Look-Alike Modeling"" enables advertisers to enhance the target segment by using predictive models to expand the segment membership by assigning a probability score to users that did not explicitly belong to that segment based on the original segment definition. In this paper accompanied by the demo of a distributed platform, we describe a Look-Alike Modeling framework to expand segment membership using a novel high-dimensional distributed algorithm based on frequent pattern mining. We describe how the distributed algorithm is more efficient than traditional classification techniques that (a) require multiple passes over the dataset and (b) require both positive and negative class labels for training. Our solution is capable of concurrently and continuously processing thousands of segments and includes an efficient grouping operator and a distributed scoring algorithm for predicting multiple segment membership for a given (very large) set of users. This leverages the power of in-database analytics as compared to using standard data mining libraries and is currently deployed on a real-world highly scalable distributed columnar database that powers several hundred campaigns and processes look-alike models for large online display advertisers. The results from the study demonstrate that the proposed algorithm outperforms other comparable techniques for predicting and expanding segments.";2012;Ashish Bindra;10.1109/ICDMW.2012.73;Conferences;2375-9259;978-0-7695-4925-5
ieee_20221205_08_11_42;Driving big data with big compute;Big Data (as embodied by Hadoop clusters) and Big Compute (as embodied by MPI clusters) provide unique capabilities for storing and processing large volumes of data. Hadoop clusters make distributed computing readily accessible to the Java community and MPI clusters provide high parallel efficiency for compute intensive workloads. Bringing the big data and big compute communities together is an active area of research. The LLGrid team has developed and deployed a number of technologies that aim to provide the best of both worlds. LLGrid MapReduce allows the map/reduce parallel programming model to be used quickly and efficiently in any language on any compute cluster. D4M (Dynamic Distributed Dimensional Data Model) provided a high level distributed arrays interface to the Apache Accumulo database. The accessibility of these technologies is assessed by measuring the effort to use these tools and is typically a few lines of code. The performance is assessed by measuring the insert rate into the Accumulo database. Using these tools a database insert rate of 4M inserts/second has been achieved on an 8 node cluster.;2012;Chansup Byun;10.1109/HPEC.2012.6408678;Conferences;;978-1-4673-1575-3
ieee_20221205_08_11_42;ZIP-IO: Architecture for application-specific compression of Big Data;We have entered the “Big Data” age: scaling of networks and sensors has led to exponentially increasing amounts of data. Compression is an effective way to deal with many of these large data sets, and application-specific compression algorithms have become popular in problems with large working sets. Unfortunately, these compression algorithms are often computationally difficult and can result in application-level slow-down when implemented in software. To address this issue, we investigate ZIP-IO, a framework for FPGA-accelerated compression. Using this system we demonstrate that an unmodified industrial software workload can be accelerated 3x while simultaneously achieving more than 1000x compression in its data set.;2012;Sang Woo Jun;10.1109/FPT.2012.6412159;Conferences;;978-1-4673-2844-9
ieee_20221205_08_11_42;An instances placement algorithm based on disk I/O load for big data in private cloud;In generally, large companies or organizations have the demand of big data processing and they do not want to entrust their business processes and data to third parties (Amazon, Google, etc.). The private cloud could meet their needs. In private cloud, tasks run at multiple instances (also known as virtual machines), which could be paced in different physical nodes. Obviously, the instances which be used to process big data need higher CPU and disk performance than other kinds of instances. If the instances of disk resource consuming are placed in the same physical node, clearly, the disk I/O bandwidth would be used up quickly that would affect the performance of the entire node seriously. This paper proposes an instances placement algorithm FFDL that based on disk I/O for private cloud environment to deal with big data that would adopt the disk I/O load balancing strategy and reduce competition for the disk I/O load between instances. We have validated our approach by conducting a performance evaluation study on the open source private cloud platform—Openstack. The results demonstrate that our algorithm has immense potential as it offers significant computation time savings than the Greedy algorithm and demonstrates high potential for the improvement of disk I/O load balancing in the entire private cloud system for the big data.;2012;Jian Guo;10.1109/ICWAMTIP.2012.6413495;Conferences;;978-1-4673-4683-2
ieee_20221205_08_11_42;Finding the Needle in the Big Data Systems Haystack;"With the increasing importance of big data, many new systems have been developed to ""solve"" the big data challenge. At the same time, famous database researchers argue that there is nothing new about these systems and that they're actually a step backward. This article sheds some light on this discussion.";2013;Tim Kraska;10.1109/MIC.2013.10;Magazines;1941-0131;
ieee_20221205_08_11_42;Asynchronous Index Strategy for high performance real-time big data stream storage;Big data insert-intensive applications challenge traditional RDBMS. Key-Value databases achieve the same throughput with much more price/performance ratio, which makes them popular recent years. However, Key-Value databases are not suitable for high performance real-time applications. In this paper we introduce Asynchronous Index Strategy as a high performance solution for insert-intensive time series big data storage. It takes advantage of partial replication and asynchronous indexes, which results in zero overhead for index updates. Furthermore, a general middle-ware for clustering databases based on Asynchronous Index Strategy is implemented. Finally, indexing and inserting performance experiments highlight the efficiency of Asynchronous Index Strategy. As for AIS based on MongoDB, it achieves a throughput that is 17 times of MongoDB sharding cluster.;2012;Xiao Mo;10.1109/ICNIDC.2012.6418750;Conferences;2374-0272;978-1-4673-2203-4
ieee_20221205_08_11_42;Grand Challenge: Applying Regulatory Science and Big Data to Improve Medical Device Innovation;Understanding how proposed medical devices will interface with humans is a major challenge that impacts both the design of innovative new devices and approval and regulation of existing devices. Today, designing and manufacturing medical devices requires extensive and expensive product cycles. Bench tests and other preliminary analyses are used to understand the range of anatomical conditions, and animal and clinical trials are used to understand the impact of design decisions upon actual device success. Unfortunately, some scenarios are impossible to replicate on the bench, and competitive pressures often accelerate initiation of animal trials without sufficient understanding of parameter selections. We believe that these limitations can be overcome through advancements in data-driven and simulation-based medical device design and manufacturing, a research topic that draws upon and combines emerging work in the areas of Regulatory Science and Big Data. We propose a cross-disciplinary grand challenge to develop and holistically apply new thinking and techniques in these areas to medical devices in order to improve and accelerate medical device innovation.;2013;Arthur G. Erdman;10.1109/TBME.2013.2244600;Journals;1558-2531;
ieee_20221205_08_11_42;Puzzling out big data [Information Technology Analytics];"Big data comes in many forms. It comes as customer information and transactions contained in customer-relationship management and enterprise resourceplanning systems and HTML-based web stores. It comes as information generated by machine-to-machine applications collecting data from smart meters, manufacturing sensors, equipment logs, trading systems data and call detail records compiled by fixed and mobile telecommunications companies. Big data can come with big differences. Some say that the `three Vs' of big data should more properly be tagged as the `three HVs': high-volume, high-variety, high-velocity, and high-veracity. Apply those tags to the mountains of information posted on social network and blogging sites, including Facebook, Twitter and VouTube; the deluge of text contained in email and instant messages; not to mention audio and video files. It is evident then that it's not necessarily the 'big-ness' of information that presents big-data applications and services with their greatest challenge, but the variety and the speed at which all that constantly changing information must be ingested, processed, aggregated, filtered, organised and fed back in a meaningful way for businesses to get some value out of it.";2013;Martin Courtney;;Magazines;1750-9637;
ieee_20221205_08_11_42;Addressing Big Data challenges for Scientific Data Infrastructure;This paper discusses the challenges that are imposed by Big Data Science on the modern and future Scientific Data Infrastructure (SDI). The paper refers to different scientific communities to define requirements on data management, access control and security. The paper introduces the Scientific Data Lifecycle Management (SDLM) model that includes all the major stages and reflects specifics in data management in modern e-Science. The paper proposes the SDI generic architecture model that provides a basis for building interoperable data or project centric SDI using modern technologies and best practices. The paper explains how the proposed models SDLM and SDI can be naturally implemented using modern cloud based infrastructure services provisioning model.;2012;Yuri Demchenko;10.1109/CloudCom.2012.6427494;Conferences;;978-1-4673-4509-5
ieee_20221205_08_11_42;Big Data Processing in Cloud Computing Environments;With the rapid growth of emerging applications like social network analysis, semantic Web analysis and bioinformatics network analysis, a variety of data to be processed continues to witness a quick increase. Effective management and analysis of large-scale data poses an interesting but critical challenge. Recently, big data has attracted a lot of attention from academia, industry as well as government. This paper introduces several big data processing technics from system and application aspects. First, from the view of cloud data management and big data processing mechanisms, we present the key issues of big data processing, including cloud computing platform, cloud architecture, cloud database and data storage scheme. Following the Map Reduce parallel processing framework, we then introduce Map Reduce optimization strategies and applications reported in the literature. Finally, we discuss the open issues and challenges, and deeply explore the research directions in the future on big data processing in cloud computing environments.;2012;Changqing Ji;10.1109/I-SPAN.2012.9;Conferences;2375-527X;978-0-7695-4930-9
ieee_20221205_08_11_42;Robust Decision Engineering: Collaborative Big Data and its application to international development/aid;"Much of the research that goes into Big Data, and specifically on Collaborative Big Data, is focused upon questions, such as: how to get more of it? (e.g., · participatory mechanisms, social media, geo-coded data from personal electronic devices) and · how to handle it? (e.g., how to ingest, sort, store, and link up disparate data sets). A question that receives far less attention is that of Collaborative analysis of Big Data; how can a multi-disciplinary layered analysis of Big Data be used to support robust decisions, especially in a collaborative setting, and especially under time pressure? The robust Decision Engineering required can be achieved by employing an approach related to Network Science, that we call Relationship Science. In Relationship Science, our methodological framework, karassian netchain analysis (KNA), is utilized to ascertain islands of stability or positive influence dominating sets (PIDS), so that a form of annealed resiliency or latent stability is achieved, thereby mitigating against unintended consequences, elements of instability, and “perfect storm” crises lurking within the network.";2012;Steve Chan;10.4108/icst.collaboratecom.2012.250715;Conferences;;978-1-4673-2740-4
ieee_20221205_08_11_42;T*: A data-centric cooling energy costs reduction approach for Big Data analytics cloud;Explosion in Big Data has led to a surge in extremely large-scale Big Data analytics platforms, resulting in burgeoning energy costs. Big Data compute model mandates strong data-locality for computational performance, and moves computations to data. State-of-the-art cooling energy management techniques rely on thermal-aware computational job placement/migration and are inherently data-placement-agnostic in nature. T* takes a novel, data-centric approach to reduce cooling energy costs and to ensure thermal-reliability of the servers. T* is cognizant of the uneven thermal-profile and differences in thermal-reliability-driven load thresholds of the servers, and the differences in the computational jobs arrival rate, size, and evolution life spans of the Big Data placed in the cluster. Based on this knowledge, and coupled with its predictive file models and insights, T* does proactive, thermal-aware file placement, which implicitly results in thermal-aware job placement in the Big Data analytics compute model. Evaluation results with one-month long real-world Big Data analytics production traces from Yahoo! show up to 42% reduction in the cooling energy costs with T* courtesy of its lower and more uniform thermal-profile and 9x better performance than the state-of-the-art data-agnostic cooling techniques.;2012;Rini T. Kaushik;10.1109/SC.2012.103;Conferences;2167-4329;978-1-4673-0804-5
ieee_20221205_08_11_42;Introduction to Big Data: Scalable Representation and Analytics for Data Science Minitrack;Big data is an emerging phenomenon characterized by the three Vs: volume, velocity, and variety. The volume of data has increased from terabytes to petabytes and is encroaching on exabytes. Some pundits are suggesting that zettabytes (1021) are reachable within the next several years. Velocity is concerned with not only how fast we accumulate data, but also how fast some of the data that we already have is changing. Some systems accumulate data at the rate of multiple petabytes per year, some systems have stored data that changes at the rate of terabytes per year. Changing data usually lags accumulating data by several orders of magnitude. Data accumulating at a multiple petabyte rate requires terabits to petabits of transport capacity. Finally, the variety and modality of data is continually evolving, it may be both structured and unstructured.;2013;Stephen Kaisler;10.1109/HICSS.2013.292;Conferences;1530-1605;978-0-7695-4892-0
